[2023-02-02 14:58:19][error] [8]未定义变量: value[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/market/model/MarketCoupon.php:136]
[2023-02-02 14:58:21][error] [8]未定义变量: value[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/market/model/MarketCoupon.php:136]
[2023-02-02 14:58:32][error] [8]未定义变量: value[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/market/model/MarketCoupon.php:136]
[2023-02-02 15:14:35][error] [10500]method not exist:think\db\Query->hiddem[/www/wwwroot/cloudskys.cn/ThinkAdmin/vendor/topthink/think-orm/src/db/BaseQuery.php:117]
[2023-02-03 16:26:07][error] [0]Class 'app\market\controller\coupon\BaseUserUpgrade' not found[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/market/controller/coupon/Grant.php:52]
[2023-02-04 15:43:09][error] [0]Argument 1 passed to trace_file() must be an instance of Exception, instance of Error given, called in /www/wwwroot/cloudskys.cn/ThinkAdmin/vendor/zoujingli/think-library/src/support/command/Queue.php on line 331[/www/wwwroot/cloudskys.cn/ThinkAdmin/vendor/zoujingli/think-library/src/common.php:380]
[2023-02-04 15:45:12][error] [0]Argument 1 passed to trace_file() must be an instance of Exception, instance of Error given, called in /www/wwwroot/cloudskys.cn/ThinkAdmin/vendor/zoujingli/think-library/src/support/command/Queue.php on line 331[/www/wwwroot/cloudskys.cn/ThinkAdmin/vendor/zoujingli/think-library/src/common.php:380]
[2023-02-04 15:51:52][error] [0]Argument 1 passed to trace_file() must be an instance of Exception, instance of Error given, called in /www/wwwroot/cloudskys.cn/ThinkAdmin/vendor/zoujingli/think-library/src/support/command/Queue.php on line 331[/www/wwwroot/cloudskys.cn/ThinkAdmin/vendor/zoujingli/think-library/src/common.php:380]
[2023-02-04 16:22:05][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:35][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:36][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:37][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:37][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:38][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:38][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:39][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:39][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:40][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:40][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:41][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:41][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:42][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:42][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:43][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:43][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:45][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:45][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:46][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:46][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:47][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:47][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:48][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:48][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:49][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:49][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:50][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:50][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:51][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:51][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:52][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:52][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:53][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:54][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:55][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:55][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:56][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:56][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:57][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:57][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:58][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:58][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:59][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:22:59][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:00][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:00][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:01][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:01][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:02][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:02][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:02][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:04][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:04][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:04][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:05][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:05][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:05][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:06][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:06][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:06][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:07][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:07][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:07][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:08][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:08][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:08][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:10][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:10][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:10][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:11][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:11][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:11][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:12][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:12][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:12][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:13][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:13][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:13][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:14][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:14][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:15][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:16][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:16][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:16][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:17][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:17][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:17][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:18][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:18][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:18][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:19][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:19][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:19][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:20][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:20][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:21][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:22][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:22][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:22][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:23][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:23][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:23][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:24][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:24][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:24][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:25][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:25][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:25][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:26][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:26][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:27][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:28][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:28][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:28][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:29][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:29][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:29][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:30][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:30][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:30][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:31][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:31][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:31][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:32][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:32][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:33][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:34][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:34][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:34][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:35][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:35][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:35][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
[2023-02-04 16:23:36][error] [0]syntax error, unexpected ']'[/www/wwwroot/cloudskys.cn/ThinkAdmin/app/data/command/Coupon.php:58]
